0,1,2,label,rho
137.99,153.43,94.47,0,4.557582390277888e-06
134.37,146.45,97.33,0,3.7291489493712414e-06
138.93,149.57,105.57,0,6.373990061591831e-06
146.72,157.85,114.35,0,1.1656282312052363e-05
151.37,162.49,118.52,0,1.3809767513779172e-05
156.8,166.64,123.28,0,1.0256916327401885e-05
159.0,167.76,125.96,0,7.89711910575841e-06
160.96,167.88,126.92,0,6.845655905992013e-06
163.58,168.58,128.58,0,5.235749539526814e-06
162.69,166.43,126.77,0,6.462838194376901e-06
162.42,167.1,124.03,0,7.259387506717804e-06
159.94,167.73,118.79,0,9.867863631946652e-06
158.96,167.01,118.16,0,1.0877393618462227e-05
161.04,167.32,124.64,0,7.772274520354837e-06
162.98,166.14,127.42,0,6.163538220978505e-06
165.68,167.44,130.5,0,4.237570833639666e-06
161.51,163.31,123.31,0,8.040242132277745e-06
156.55,162.35,121.15,0,1.1808872775346069e-05
152.93,159.05,122.41,0,1.1084098522596967e-05
153.19,155.75,125.99,0,7.762360162498307e-06
157.42,155.94,134.22,0,4.109204705491074e-06
165.08,160.36,140.92,0,2.329281036838497e-06
165.33,158.75,140.62,0,2.296263114818024e-06
156.45,149.9,131.48,0,3.702797700419556e-06
143.77,140.48,119.96,0,3.101646496791316e-06
136.69,136.55,110.75,0,2.576060295823713e-06
134.51,134.83,104.83,0,2.239693537465514e-06
138.84,142.17,109.52,0,3.9580462486526585e-06
145.87,150.03,114.63,0,7.4118372154498346e-06
152.8,160.28,119.8,0,1.2999076890053266e-05
155.23,168.05,121.44,0,1.0896986583943934e-05
156.05,166.93,119.69,0,1.2351056036967265e-05
157.27,165.11,121.39,0,1.1499970196102249e-05
160.88,169.24,125.08,0,7.149026287856847e-06
164.05,173.05,127.17,0,4.433808010966355e-06
162.37,173.73,126.61,0,4.7425215838725676e-06
156.63,167.42,124.12,0,9.486482392966786e-06
151.63,156.74,124.08,0,9.05731557331905e-06
157.56,158.52,133.48,0,4.705416906386684e-06
160.44,161.32,139.64,0,2.883685093940209e-06
157.75,156.35,136.55,0,3.4805001143840246e-06
153.76,150.56,131.32,0,4.004005985566128e-06
152.31,149.07,128.27,0,4.350969796947357e-06
149.69,146.01,124.59,0,4.158629174896324e-06
147.96,144.05,120.29,0,4.1373122346677325e-06
147.39,144.71,117.83,0,4.629023028307764e-06
147.07,147.59,119.55,0,5.5427926626632534e-06
147.22,150.74,121.46,0,6.452629492105864e-06
143.98,149.94,118.26,0,6.231585641062197e-06
146.9,155.13,120.26,0,8.597428637540086e-06
152.06,165.98,119.4,0,1.249295970187341e-05
157.37,171.93,116.69,0,9.187096791643101e-06
155.46,169.86,116.14,0,1.1412089905736107e-05
154.16,165.96,120.36,0,1.255722025466416e-05
153.19,159.87,119.43,0,1.2990112394089665e-05
150.54,152.3,113.9,0,8.658319420460243e-06
145.64,147.67,106.97,0,6.173877346387864e-06
146.95,153.36,107.97,0,9.311586955076403e-06
153.35,161.99,113.59,0,1.4538818690246344e-05
155.62,166.18,117.7,0,1.3529037773556446e-05
158.29,169.48,120.27,0,9.85334801019737e-06
161.88,174.79,120.82,0,5.50059619889584e-06
165.27,177.31,121.39,0,3.7235749960874034e-06
165.39,176.79,120.79,0,3.862525549920916e-06
161.89,173.69,119.81,0,6.084550888727007e-06
162.98,172.06,122.62,0,5.9361343216222136e-06
161.56,166.48,124.0,0,7.846202424648694e-06
160.51,161.71,125.07,0,7.95809224694093e-06
157.53,159.4,122.27,0,9.83296779881907e-06
149.65,157.14,113.63,0,1.2371743924636163e-05
147.76,161.93,106.94,0,1.2520743209180234e-05
146.81,164.53,106.81,0,1.1717849455805621e-05
148.51,166.55,112.55,0,1.2748427361012385e-05
148.4,166.08,115.84,0,1.1719258583777689e-05
147.3,165.7,114.7,0,1.1378021997664717e-05
145.0,164.43,110.44,0,1.082434927497599e-05
139.92,161.96,104.88,0,7.677766445607769e-06
139.93,161.25,102.01,0,7.402052987079658e-06
145.56,168.28,104.24,0,8.266220194667564e-06
146.52,169.96,103.92,0,7.541879362245637e-06
142.67,166.47,98.47,0,5.790187874324382e-06
136.68,160.32,92.56,0,3.718200275267145e-06
